Match,White Player,Black Player,Game Duration,Game Status,Winner
1,RandomBot,RandomSensing,1:21,Completed,Black
2,RandomBot,RandomSensing,0:42,Completed,Black
3,RandomBot,RandomSensing,0:09,Completed,Black
4,RandomBot,RandomSensing,0:24,Completed,White
5,RandomBot,RandomSensing,0:20,Completed,Black
6,RandomBot,RandomSensing,0:18,Completed,Black
7,RandomBot,RandomSensing,1:10,Completed,White
8,RandomBot,RandomSensing,1:04,Completed,White
9,RandomBot,RandomSensing,0:39,Completed,White
10,RandomBot,RandomSensing,0:18,Completed,Black
11,RandomSensing,RandomBot,0:14,Completed,White
12,RandomBot,RandomSensing,0:08,Completed,Black
13,RandomSensing,RandomBot,0:26,Completed,Black
14,RandomBot,RandomSensing,0:10,Completed,White
15,RandomSensing,RandomBot,1:07,Completed,Black
16,RandomBot,RandomSensing,0:08,Completed,Black
17,RandomSensing,RandomBot,0:54,Completed,White
18,RandomBot,RandomSensing,0:35,Completed,Black
19,RandomSensing,RandomBot,0:24,Completed,Black
20,RandomBot,RandomSensing,0:33,Completed,White
1,RandomBot,ImprovedAgent,4:29,Completed,Black
2,RandomBot,ImprovedAgent,0:21,Completed,Black
3,RandomBot,ImprovedAgent,5:03,Completed,Black
4,RandomBot,ImprovedAgent,1:42,Completed,White
5,RandomBot,ImprovedAgent,0:03,Completed,Black
6,RandomBot,ImprovedAgent,0:43,Completed,Black
7,RandomBot,ImprovedAgent,4:08,Completed,Black
8,RandomBot,ImprovedAgent,0:05,Completed,Black
9,RandomBot,ImprovedAgent,0:13,Completed,Black
10,RandomBot,ImprovedAgent,0:09,Completed,Black
11,ImprovedAgent,RandomBot,1:47,Completed,White
12,RandomBot,ImprovedAgent,0:22,Completed,Black
13,ImprovedAgent,RandomBot,0:03,Completed,White
14,RandomBot,ImprovedAgent,0:22,Completed,Black
15,ImprovedAgent,RandomBot,0:10,Completed,White
16,RandomBot,ImprovedAgent,1:16,Completed,White
17,ImprovedAgent,RandomBot,0:39,Completed,White
18,RandomBot,ImprovedAgent,0:35,Completed,Black
19,ImprovedAgent,RandomBot,0:24,Completed,White
20,RandomBot,ImprovedAgent,0:17,Completed,Black
1,TroutBot,RandomSensing,0:21,Completed,White
2,TroutBot,RandomSensing,1:07,Completed,White
3,TroutBot,RandomSensing,0:37,Completed,White
4,TroutBot,RandomSensing,0:26,Completed,Black
5,TroutBot,RandomSensing,0:28,Completed,White
6,TroutBot,RandomSensing,0:25,Completed,White
7,TroutBot,RandomSensing,0:08,Completed,White
8,TroutBot,RandomSensing,1:07,Completed,White
